timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542211293,4.348564605404,1.4592101286240786,1.3167407084979905,6.568245561932173,4.394196711761057,1.816137824922757,1.0614536191757673,0.5613613422066841,2.1886880885483517,0.7365943029749235,3.031377672621893,1.8452904405868007,2.1699390444516955,6.830200940399376,5.71282364963741,3.5637465963878037,3.215855574485945,6.05615357667445,10.853065721683183,9.321970246792219,1
1542211294,2.2119970328685366,1.6362164761160645,1.2572795662283982,8.096101987398168,5.954245222122963,3.774323895553404,0.8692393953949418,0.7318754845353804,4.6840110619202955,6.9843696306762695,2.735758469937997,1.640368928508773,2.360656175697388,7.115104399365174,6.728538731097771,4.189356452776411,2.5156032374554957,5.93726630479628,7.851402841859714,7.233835203255287,1
1542211294,3.8851309564347667,1.735963822698834,1.1286160827448604,7.103551749537424,5.478873424735613,2.2372609778689934,1.0959667124247758,0.5123265080127863,2.910493649309791,3.7538558601230916,4.158935360249993,1.5621644006390878,2.001178727361359,5.893406999635988,4.656781908697606,4.596065277568127,2.7042380606852827,6.017062884644769,6.841974376771616,9.711171031866613,1
1542211295,4.37805338853198,1.7829766539900298,1.199025399582783,4.912031373003991,4.865446981274214,2.94146650942335,1.824643715128859,0.8251227633049275,1.5033932849398317,2.2969495851529036,2.3767572763049114,1.2061420232818079,1.8724825175182591,1.5078284097737555,1.5907481622936985,5.913017259517357,2.8903157012474328,5.951972351116302,4.702814854157617,8.229814663000427,1
1542211295,3.863751504434982,1.7889145678861118,1.337661254923791,6.579676170975301,5.626430445053836,1.5690122777820068,1.3769706181217118,0.5302017021436458,1.4926973867931146,2.0628529172601264,1.4647644589945006,1.2891581654285988,1.8109225077525941,4.9410601236456,7.02824784296367,7.005322955145129,3.025232504817231,6.093018587289518,4.686943246237156,5.993242126308769,1
1542211296,2.835501506114594,2.20867767993803,1.977289863532878,6.439792350273444,2.986226723275496,1.1501491098036591,1.4168238594745186,1.1052110098771963,1.7531579383562592,1.1497668757009452,3.466240909750313,1.6316751917686472,2.3947820277795504,6.776768398123404,3.9454086654400835,10.008542007326287,2.9578286455793164,6.316896919920492,5.085149422553687,4.143863284432906,1
1542211296,3.897289555552261,1.7970427919890986,2.5062607474424192,8.983482151030579,5.1857587421235785,1.3656974399810127,1.2308371535624782,1.28189542456151,2.089692402579166,1.4357395324042383,3.4212642583684123,2.010706478964949,2.6501802936023053,4.3499177119895105,6.2497038824173625,7.730423193803543,2.618660427980925,6.605953769682947,6.873601233174373,10.68381147562091,1
1542211297,3.693114198894994,2.434567131801318,1.6642809491373032,5.187540863021643,6.520483686129859,1.199710971937957,1.1766089942853832,0.44295379105336435,3.0213963271019986,1.9185363314621051,3.1277033071995586,1.8507281292742097,2.3366144517491234,7.869167526716202,7.404974376791981,6.3595918735031125,3.6322182072904874,6.725006115665521,6.305086778080619,5.615284814451949,1
1542211297,2.9063635607517315,1.6992179765257076,1.2719679115320055,5.882177640815509,2.3932927825062116,1.640344938260549,1.1189703051994264,0.4970476622880033,3.9920380565530262,2.016800155813392,6.200932087065323,2.387262854972215,2.3616464539530315,2.5398588585595356,0.6654669096862791,1.804663164529086,2.436653230569826,5.934783597377461,8.056277001763187,7.367648628995804,1
1542211298,0.757957521188901,1.426192806156314,1.18376088490348,9.775692229302546,5.683624893878105,2.7184307304655864,1.4795922944551048,0.8050925432712365,10.297457718222187,5.944306063837619,6.738448558344255,2.633639948785019,2.2892947867051925,9.61734469293161,10.032822571574883,5.138531610076575,1.779633885271222,5.879938273544621,7.677723281380878,2.761809693001122,1
1542211298,8.467659886519797,1.8019033302407408,1.0381643951338706,4.072075125286236,3.1346324617475694,3.3097281947543506,2.7379051969487618,0.787382539752288,11.00339331522527,5.94899290816018,7.698081810861467,4.976244485500231,2.3997982126582955,7.855358177397607,8.914827499038841,8.530197608324924,3.0568546160335988,5.894945616028163,6.5007641188787435,6.826917055962884,1
1542211299,5.848114883472427,3.2178493925447045,1.5325881384235067,13.169589325555881,8.754852027719881,7.308249886253969,2.314611627142896,0.9932239023793967,9.436680510308125,4.790235301830915,4.927647933387221,3.237533666948693,2.174526760785144,4.856130437946092,2.6394711074841872,10.809107097611326,4.239395034270017,5.908833534981258,10.819924473788038,6.878145157704178,1
